Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
Ordinateur portable Asus Vivobook S530FA-BQ355T,,1149.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,12.0,DDR4,,,,512.0,SATA,1.8 x 36.1 x 24.3,1600.0,
PC Gamer MSI GS75 Stealth 8SE-200FR,,2299.0,17.3,43.9,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7 8750H,16.0,DDR4,,,,512.0,NvMe PCI Express,25.95 x 39.61 x 1.89,2300.0,NVIDIA GeForce RTX2060 avec 6 Go
Ordinateur portable Asus ZenBook Pro UX580GD-BO001T,5.0,1799.0,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,,,,512.0,SATA,1.89 x 36.7 x 25.1,1800.0,NVIDIA GeForce GTX1050 avec 4 Go GDDR5
PC Hybride Microsoft Surface Pro 6 i7 16 512 Platine,,2069.0,12.3,31.2,2736 x 1824,Windows 10,64.0,Intel Core i7-8650U,16.0,LPDDR3,,,,512.0,,29.2 x 0.8 x 20.1,770.0,
PC Hybride Microsoft Surface Pro 6 i7 8 256 Noir,,1669.0,12.3,31.2,2736 x 1824,Windows 10,64.0,Intel Core i7-8650U,8.0,LPDDR3,,,,256.0,,29.2 x 0.8 x 20.1,770.0,
PC Gamer Lenovo Legion Y530-15ICH-862,5.0,1399.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,,,256.0,M.2 PCIe,26.7 x 36 x 2.42,2300.0,NVIDIA GeForce GTX1060 avec 6 Go
Ordinateur portable HP 17-bw0006nf,5.0,1399.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,12.0,DDR4,1000.0,S-ATA,7200.0,128.0,M.2,27.8 x 2.31 x 41.6,3000.0,NVIDIA GeForce MX 150 avec 4 GO GDDR5
Ordinateur portable Asus Zenbook UX533FD-A9030T,5.0,1599.0,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,512.0,PCI Express,1.79 x 35.4 x 22,1700.0,NVIDIA GeForce GTX1050 avec 2 Go
PC Gamer HP OMEN 17-an105nf,3.5,1799.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,128.0,PCI Express,30.4 x 3.3 x 42.3,3800.0,NVIDIA GeForce GTX1070 avec 8Go GDDR5
Ordinateur portable Asus Zenbook UX431FA-AM043T,,1099.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,,,,,,512.0,PCI Express,1.59 x 32.3 x 21.1,1500.0,
PC Hybride Microsoft Surface Book 2 13.5''- i7 16Go 512Go,5.0,2849.0,13.5,34.3,3000 x 2000,Windows 10 Pro,64.0,Intel Core i7-8650U,16.0,LPDDR3,,,,512.0,,31.2 x 1.5 x 23.2,1600.0,NVIDIA GeForce GTX1050 avec 2 Go GDDR5
Ordinateur portable Asus Vivobook Pro N705FD-GC003T,4.0,1499.0,17.0,43.2,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,1000.0,S-ATA,5400.0,256.0,SATA,2.95 x 41.1 x 27,2600.0,NVIDIA GeForce GTX1050 avec 4 Go GDDR5
Ordinateur portable Lenovo Ideapad C340-14IWL-485,,1199.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,16.0,DDR4,,,,512.0,,22.9 x 32.8 x 1.79,1700.0,
PC Gamer Asus SCAR2-G715GV-EV043R,,2069.0,17.3,43.9,1920 x 1080,Windows 10 Pro,64.0,Intel Core i7-8750H,16.0,DDR4,1000.0,S-ATA,,256.0,PCI Express,1.64 x 39.9 x 27.3,3000.0,NVIDIA GeForce RTX2060 avec 6 Go
Ordinateur portable HP Spectre x360 15-df0001nf,,1999.0,15.6,39.6,3840 x 2160,Windows 10,64.0,Intel Core i7 8565U,16.0,DDR4 SDRAM,,,,512.0,,25 x 1.93 x 36.1,2200.0,NVIDIA GeForce MX 150 avec 2 GO GDDR5
Ordinateur portable Asus Zenbook UX431FA-AN002T,,999.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,256.0,PCI Express,1.59 x 32.4 x 22.5,1300.0,
Ordinateur portable HP Spectre 13-af007nf,,1999.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,LPDDR3 SDRAM,,,,1000.0,PCI Express,22.42 x 1.04 x 30.82,1100.0,
Ordinateur portable Lenovo YOGA C930-13IKB-879,4.0,1499.0,13.9,35.3,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR4,,,,512.0,NvMe PCI Express,22.7 x 32.2 x 1.45,1400.0,
